Hospital,Region,Medicine,Month,Demand,Inventory,LeadTimeDays
HOSP_001,NW,PainRelief,6,436,366,14
HOSP_001,NW,PainRelief,7,315,96,2
HOSP_001,NW,PainRelief,8,258,50,14
HOSP_001,NW,PainRelief,9,117,205,14
HOSP_001,NW,PainRelief,10,224,213,3
HOSP_001,NW,PainRelief,11,160,90,10
HOSP_001,NW,PainRelief,12,447,194,2
HOSP_001,NW,Antiviral,1,378,95,7
HOSP_001,NW,Antiviral,2,300,305,14
HOSP_001,NW,Antiviral,3,330,338,21
HOSP_001,NW,Antiviral,4,366,316,14
HOSP_001,NW,Antiviral,5,406,148,2
HOSP_001,NW,Antiviral,6,151,55,10
HOSP_001,NW,Antiviral,7,253,72,14
HOSP_001,NW,Antiviral,8,388,132,2
HOSP_001,NW,Antiviral,9,275,337,3
HOSP_001,NW,Antiviral,10,184,88,3
HOSP_001,NW,Antiviral,11,324,317,2
HOSP_001,NW,Antiviral,12,366,271,7
HOSP_001,NW,PPE_Mask,1,191,278,14
HOSP_001,NW,PPE_Mask,2,206,152,21
HOSP_001,NW,PPE_Mask,3,197,384,7
HOSP_001,NW,PPE_Mask,4,166,298,21
HOSP_001,NW,PPE_Mask,5,238,100,2
HOSP_001,NW,PPE_Mask,6,315,187,2
HOSP_001,NW,PPE_Mask,7,224,102,3
HOSP_001,NW,PPE_Mask,8,149,289,7
HOSP_001,NW,PPE_Mask,9,252,233,2
HOSP_001,NW,PPE_Mask,10,416,204,14
HOSP_001,NW,PPE_Mask,11,218,366,21
HOSP_001,NW,PPE_Mask,12,70,182,2
HOSP_002,SW,FluVax,1,168,122,3
HOSP_002,SW,FluVax,2,398,263,21
HOSP_002,SW,FluVax,3,142,306,2
HOSP_002,SW,FluVax,4,364,256,21
HOSP_002,SW,FluVax,5,114,203,21
HOSP_002,SW,FluVax,6,175,56,7
HOSP_002,SW,FluVax,7,281,343,7
HOSP_002,SW,FluVax,8,352,168,14
HOSP_002,SW,FluVax,9,115,175,10
HOSP_002,SW,FluVax,10,132,261,2
HOSP_002,SW,FluVax,11,281,277,21
HOSP_002,SW,FluVax,12,207,285,7
HOSP_002,SW,Insulin,1,297,275,7
HOSP_002,SW,Insulin,2,251,278,2
HOSP_002,SW,Insulin,3,305,161,10
HOSP_002,SW,Insulin,4,473,367,21
HOSP_002,SW,Insulin,5,195,384,21
HOSP_002,SW,Insulin,6,339,111,2
HOSP_002,SW,Insulin,7,460,349,14
HOSP_002,SW,Insulin,8,277,373,7
HOSP_002,SW,Insulin,9,125,139,21
HOSP_002,SW,Insulin,10,159,188,10
HOSP_002,SW,Insulin,11,116,59,14
HOSP_002,SW,Insulin,12,307,62,3
HOSP_002,SW,Antibiotic,1,216,87,7
HOSP_002,SW,Antibiotic,2,217,118,21
HOSP_002,SW,Antibiotic,3,495,186,3
HOSP_002,SW,Antibiotic,4,130,50,21
HOSP_002,SW,Antibiotic,5,205,319,10
HOSP_002,SW,Antibiotic,6,353,214,14
HOSP_002,SW,Antibiotic,7,158,286,3
HOSP_002,SW,Antibiotic,8,173,377,21
HOSP_002,SW,Antibiotic,9,379,192,2
HOSP_002,SW,Antibiotic,10,334,358,7
HOSP_002,SW,Antibiotic,11,419,91,10
HOSP_002,SW,Antibiotic,12,469,338,10
HOSP_002,SW,PainRelief,1,374,146,14
HOSP_002,SW,PainRelief,2,348,338,21
HOSP_002,SW,PainRelief,3,193,167,21
HOSP_002,SW,PainRelief,4,195,277,14
HOSP_002,SW,PainRelief,5,382,206,10
HOSP_002,SW,PainRelief,6,344,144,7
HOSP_002,SW,PainRelief,7,199,197,7
HOSP_002,SW,PainRelief,8,360,87,21
HOSP_002,SW,PainRelief,9,193,267,14
HOSP_002,SW,PainRelief,10,322,160,10
HOSP_002,SW,PainRelief,11,263,100,14
HOSP_002,SW,PainRelief,12,169,263,7
HOSP_002,SW,Antiviral,1,195,231,2
HOSP_002,SW,Antiviral,2,398,104,7
HOSP_002,SW,Antiviral,3,351,251,10
HOSP_002,SW,Antiviral,4,346,340,10
HOSP_002,SW,Antiviral,5,211,396,2
HOSP_002,SW,Antiviral,6,393,300,7
HOSP_002,SW,Antiviral,7,70,393,2
HOSP_002,SW,Antiviral,8,179,199,3
HOSP_002,SW,Antiviral,9,314,226,10
HOSP_002,SW,Antiviral,10,390,112,14
HOSP_002,SW,Antiviral,11,159,264,7
HOSP_002,SW,Antiviral,12,428,367,21
HOSP_002,SW,PPE_Mask,1,338,68,3
HOSP_002,SW,PPE_Mask,2,250,224,3
HOSP_002,SW,PPE_Mask,3,434,368,10
HOSP_002,SW,PPE_Mask,4,223,104,7
HOSP_002,SW,PPE_Mask,5,390,136,10
HOSP_002,SW,PPE_Mask,6,385,398,2
HOSP_002,SW,PPE_Mask,7,234,377,21
HOSP_002,SW,PPE_Mask,8,176,100,2
HOSP_002,SW,PPE_Mask,9,126,127,21
HOSP_002,SW,PPE_Mask,10,461,214,21
HOSP_002,SW,PPE_Mask,11,136,51,2
HOSP_002,SW,PPE_Mask,12,420,60,3
HOSP_003,SE,FluVax,1,357,305,21
HOSP_003,SE,FluVax,2,199,391,10
HOSP_003,SE,FluVax,3,328,264,2
HOSP_003,SE,FluVax,4,397,63,2
HOSP_003,SE,FluVax,5,134,284,21
HOSP_003,SE,FluVax,6,443,78,14
HOSP_003,SE,FluVax,7,179,83,2
HOSP_003,SE,FluVax,8,246,125,14
HOSP_003,SE,FluVax,9,292,268,3
HOSP_003,SE,FluVax,10,237,222,2
HOSP_003,SE,FluVax,11,522,179,10
HOSP_003,SE,FluVax,12,641,356,14
HOSP_003,SE,Insulin,1,194,236,7
HOSP_003,SE,Insulin,2,260,160,21
HOSP_003,SE,Insulin,3,192,386,21
HOSP_003,SE,Insulin,4,520,203,3
HOSP_003,SE,Insulin,5,347,110,7
HOSP_003,SE,Insulin,6,140,88,7
HOSP_003,SE,Insulin,7,326,61,7
HOSP_003,SE,Insulin,8,410,354,14
HOSP_003,SE,Insulin,9,223,367,7
HOSP_003,SE,Insulin,10,404,130,14
HOSP_003,SE,Insulin,11,516,75,3
HOSP_003,SE,Insulin,12,398,331,14
HOSP_003,SE,Antibiotic,1,374,364,14
HOSP_003,SE,Antibiotic,2,329,152,2
HOSP_003,SE,Antibiotic,3,420,147,7
HOSP_003,SE,Antibiotic,4,399,232,10
HOSP_003,SE,Antibiotic,5,338,259,2
HOSP_003,SE,Antibiotic,6,446,157,21
HOSP_003,SE,Antibiotic,7,350,145,7
HOSP_003,SE,Antibiotic,8,125,78,21
HOSP_003,SE,Antibiotic,9,216,285,2
HOSP_003,SE,Antibiotic,10,385,389,14
HOSP_003,SE,Antibiotic,11,420,207,3
HOSP_003,SE,Antibiotic,12,404,342,2
HOSP_003,SE,PainRelief,1,348,354,2
HOSP_003,SE,PainRelief,2,361,236,3
HOSP_003,SE,PainRelief,3,434,368,21
HOSP_003,SE,PainRelief,4,222,382,3
HOSP_003,SE,PainRelief,5,162,398,21
HOSP_003,SE,PainRelief,6,285,379,7
HOSP_003,SE,PainRelief,7,386,103,2
HOSP_003,SE,PainRelief,8,160,290,14
HOSP_003,SE,PainRelief,9,337,265,7
HOSP_003,SE,PainRelief,10,179,169,14
HOSP_003,SE,PainRelief,11,187,172,10
HOSP_003,SE,PainRelief,12,389,275,10
HOSP_003,SE,Antiviral,1,399,275,10
HOSP_003,SE,Antiviral,2,285,300,14
HOSP_003,SE,Antiviral,3,234,130,3
HOSP_003,SE,Antiviral,4,199,398,7
HOSP_003,SE,Antiviral,5,226,286,2
HOSP_003,SE,Antiviral,6,410,385,10
HOSP_003,SE,Antiviral,7,213,94,2
HOSP_003,SE,Antiviral,8,279,240,7
HOSP_003,SE,Antiviral,9,154,209,7
HOSP_003,SE,Antiviral,10,140,131,10
HOSP_003,SE,Antiviral,11,217,273,14
HOSP_003,SE,Antiviral,12,351,282,2
HOSP_003,SE,PPE_Mask,1,230,212,21
HOSP_003,SE,PPE_Mask,2,417,123,2
HOSP_003,SE,PPE_Mask,3,236,86,14
HOSP_003,SE,PPE_Mask,4,379,291,10
HOSP_003,SE,PPE_Mask,5,145,242,21
HOSP_003,SE,PPE_Mask,6,478,355,21
HOSP_003,SE,PPE_Mask,7,239,56,14
HOSP_003,SE,PPE_Mask,8,232,128,7
HOSP_003,SE,PPE_Mask,9,355,334,10
HOSP_003,SE,PPE_Mask,10,310,88,14
HOSP_003,SE,PPE_Mask,11,329,133,21
HOSP_003,SE,PPE_Mask,12,350,386,21
HOSP_004,SW,FluVax,1,104,107,10
HOSP_004,SW,FluVax,2,472,212,2
HOSP_004,SW,FluVax,3,109,76,10
HOSP_004,SW,FluVax,4,310,142,14
HOSP_004,SW,FluVax,5,129,398,10
HOSP_004,SW,FluVax,6,159,95,2
HOSP_004,SW,FluVax,7,295,277,2
HOSP_004,SW,FluVax,8,296,368,21
HOSP_004,SW,FluVax,9,248,113,14
HOSP_004,SW,FluVax,10,190,323,21
HOSP_004,SW,FluVax,11,349,151,2
HOSP_004,SW,FluVax,12,429,228,2
HOSP_004,SW,Insulin,1,272,359,21
HOSP_004,SW,Insulin,2,329,251,3
HOSP_004,SW,Insulin,3,138,126,10
HOSP_004,SW,Insulin,4,271,243,21
HOSP_004,SW,Insulin,5,432,155,10
HOSP_004,SW,Insulin,6,374,366,7
HOSP_004,SW,Insulin,7,202,313,3
HOSP_004,SW,Insulin,8,281,367,7
HOSP_004,SW,Insulin,9,446,363,21
HOSP_004,SW,Insulin,10,146,176,2
HOSP_004,SW,Insulin,11,110,350,7
HOSP_004,SW,Insulin,12,174,287,10
HOSP_004,SW,Antibiotic,1,364,349,3
HOSP_004,SW,Antibiotic,2,379,199,14
HOSP_004,SW,Antibiotic,3,370,292,7
HOSP_004,SW,Antibiotic,4,333,256,2
HOSP_004,SW,Antibiotic,5,227,73,10
HOSP_004,SW,Antibiotic,6,480,69,10
HOSP_004,SW,Antibiotic,7,346,299,14
HOSP_004,SW,Antibiotic,8,211,384,3
HOSP_004,SW,Antibiotic,9,211,295,14
HOSP_004,SW,Antibiotic,10,91,89,14
HOSP_004,SW,Antibiotic,11,282,136,3
HOSP_004,SW,Antibiotic,12,261,51,14
HOSP_004,SW,PainRelief,1,217,160,21
HOSP_004,SW,PainRelief,2,432,133,3
HOSP_004,SW,PainRelief,3,274,115,7
HOSP_004,SW,PainRelief,4,429,213,14
HOSP_004,SW,PainRelief,5,143,315,10
HOSP_004,SW,PainRelief,6,110,182,10
HOSP_004,SW,PainRelief,7,417,333,2
HOSP_004,SW,PainRelief,8,403,253,14
HOSP_004,SW,PainRelief,9,339,256,21
HOSP_004,SW,PainRelief,10,365,383,3
HOSP_004,SW,PainRelief,11,137,294,7
HOSP_004,SW,PainRelief,12,326,255,10
HOSP_004,SW,Antiviral,1,407,175,3
HOSP_004,SW,Antiviral,2,163,234,7
HOSP_004,SW,Antiviral,3,318,175,14
HOSP_004,SW,Antiviral,4,292,283,10
HOSP_004,SW,Antiviral,5,247,54,21
HOSP_004,SW,Antiviral,6,313,360,3
HOSP_004,SW,Antiviral,7,351,185,2
HOSP_004,SW,Antiviral,8,158,394,21
HOSP_004,SW,Antiviral,9,143,102,14
HOSP_004,SW,Antiviral,10,356,269,3
HOSP_004,SW,Antiviral,11,482,138,14
HOSP_004,SW,Antiviral,12,293,208,2
HOSP_004,SW,PPE_Mask,1,178,151,7
HOSP_004,SW,PPE_Mask,2,253,328,7
HOSP_004,SW,PPE_Mask,3,362,138,14
HOSP_004,SW,PPE_Mask,4,188,248,14
HOSP_004,SW,PPE_Mask,5,208,340,10
HOSP_004,SW,PPE_Mask,6,95,159,21
HOSP_004,SW,PPE_Mask,7,457,377,3
HOSP_004,SW,PPE_Mask,8,286,270,3
HOSP_004,SW,PPE_Mask,9,283,349,10
HOSP_004,SW,PPE_Mask,10,358,392,21
HOSP_004,SW,PPE_Mask,11,323,330,10
HOSP_004,SW,PPE_Mask,12,172,373,14
HOSP_005,NW,FluVax,1,180,101,21
HOSP_005,NW,FluVax,2,329,340,3
HOSP_005,NW,FluVax,3,298,139,2
HOSP_005,NW,FluVax,4,106,157,3
HOSP_005,NW,FluVax,5,323,347,10
HOSP_005,NW,FluVax,6,240,312,21
HOSP_005,NW,FluVax,7,231,190,21
HOSP_005,NW,FluVax,8,418,269,2
HOSP_005,NW,FluVax,9,104,174,3
HOSP_005,NW,FluVax,10,597,98,3
HOSP_005,NW,FluVax,11,229,109,3
HOSP_005,NW,FluVax,12,415,213,3
HOSP_005,NW,Insulin,1,218,275,2
HOSP_005,NW,Insulin,2,344,199,14
HOSP_005,NW,Insulin,3,471,127,14
HOSP_005,NW,Insulin,4,325,307,7
HOSP_005,NW,Insulin,5,310,216,2
HOSP_005,NW,Insulin,6,123,237,21
HOSP_005,NW,Insulin,7,360,158,21
HOSP_005,NW,Insulin,8,219,213,7
HOSP_005,NW,Insulin,9,228,245,14
HOSP_005,NW,Insulin,10,279,54,10
HOSP_005,NW,Insulin,11,299,116,21
HOSP_005,NW,Insulin,12,140,308,21
HOSP_005,NW,Antibiotic,1,460,340,3
HOSP_005,NW,Antibiotic,2,266,313,21
HOSP_005,NW,Antibiotic,3,184,352,2
HOSP_005,NW,Antibiotic,4,216,207,2
HOSP_005,NW,Antibiotic,5,166,52,21
HOSP_005,NW,Antibiotic,6,175,164,21
HOSP_005,NW,Antibiotic,7,287,335,14
HOSP_005,NW,Antibiotic,8,262,280,2
HOSP_005,NW,Antibiotic,9,412,191,10
HOSP_005,NW,Antibiotic,10,253,286,3
HOSP_005,NW,Antibiotic,11,103,380,7
HOSP_005,NW,Antibiotic,12,351,203,10
HOSP_005,NW,PainRelief,1,133,391,10
HOSP_005,NW,PainRelief,2,158,288,2
HOSP_005,NW,PainRelief,3,205,207,21
HOSP_005,NW,PainRelief,4,265,56,10
HOSP_005,NW,PainRelief,5,318,179,7
HOSP_005,NW,PainRelief,6,115,305,3
HOSP_005,NW,PainRelief,7,121,144,21
HOSP_005,NW,PainRelief,8,171,359,21
HOSP_005,NW,PainRelief,9,221,74,10
HOSP_005,NW,PainRelief,10,104,337,10
HOSP_005,NW,PainRelief,11,183,209,14
HOSP_005,NW,PainRelief,12,228,109,7
HOSP_005,NW,Antiviral,1,118,179,21
HOSP_005,NW,Antiviral,2,483,105,2
HOSP_005,NW,Antiviral,3,245,129,10
HOSP_005,NW,Antiviral,4,102,152,2
HOSP_005,NW,Antiviral,5,237,173,21
HOSP_005,NW,Antiviral,6,139,165,21
HOSP_005,NW,Antiviral,7,75,278,14
HOSP_005,NW,Antiviral,8,418,111,7
HOSP_005,NW,Antiviral,9,222,114,14
HOSP_005,NW,Antiviral,10,292,230,3
HOSP_005,NW,Antiviral,11,214,237,7
HOSP_005,NW,Antiviral,12,197,305,14
HOSP_005,NW,PPE_Mask,1,358,131,7
HOSP_005,NW,PPE_Mask,2,337,91,14
HOSP_005,NW,PPE_Mask,3,335,109,14
HOSP_005,NW,PPE_Mask,4,141,281,14
HOSP_005,NW,PPE_Mask,5,155,128,2
HOSP_005,NW,PPE_Mask,6,134,222,7
HOSP_005,NW,PPE_Mask,7,312,382,2
HOSP_005,NW,PPE_Mask,8,313,158,7
HOSP_005,NW,PPE_Mask,9,246,281,3
HOSP_005,NW,PPE_Mask,10,275,260,7
HOSP_005,NW,PPE_Mask,11,307,57,3
HOSP_005,NW,PPE_Mask,12,183,269,2
HOSP_006,NE,FluVax,1,612,373,21
HOSP_006,NE,FluVax,2,410,168,21
HOSP_006,NE,FluVax,3,127,307,21
HOSP_006,NE,FluVax,4,332,337,10
HOSP_006,NE,FluVax,5,109,232,2
HOSP_006,NE,FluVax,6,167,383,10
HOSP_006,NE,FluVax,7,237,223,2
HOSP_006,NE,FluVax,8,278,81,21
HOSP_006,NE,FluVax,9,137,198,21
HOSP_006,NE,FluVax,10,381,287,10
HOSP_006,NE,FluVax,11,212,397,14
HOSP_006,NE,FluVax,12,176,78,14
HOSP_006,NE,Insulin,1,180,137,10
HOSP_006,NE,Insulin,2,439,238,2
HOSP_006,NE,Insulin,3,421,330,14
HOSP_006,NE,Insulin,4,222,235,2
HOSP_006,NE,Insulin,5,166,59,14
HOSP_006,NE,Insulin,6,502,115,2
HOSP_006,NE,Insulin,7,310,139,3
HOSP_006,NE,Insulin,8,346,63,2
HOSP_006,NE,Insulin,9,398,272,21
HOSP_006,NE,Insulin,10,343,235,10
HOSP_006,NE,Insulin,11,319,276,3
HOSP_006,NE,Insulin,12,434,359,14
HOSP_006,NE,Antibiotic,1,347,69,2
HOSP_006,NE,Antibiotic,2,131,270,21
HOSP_006,NE,Antibiotic,3,305,303,3
HOSP_006,NE,Antibiotic,4,319,208,10
HOSP_006,NE,Antibiotic,5,192,201,14
HOSP_006,NE,Antibiotic,6,227,166,10
HOSP_006,NE,Antibiotic,7,350,162,2
HOSP_006,NE,Antibiotic,8,218,162,7
HOSP_006,NE,Antibiotic,9,186,309,10
HOSP_006,NE,Antibiotic,10,522,247,21
HOSP_006,NE,Antibiotic,11,329,110,3
HOSP_006,NE,Antibiotic,12,463,156,2
HOSP_006,NE,PainRelief,1,296,100,14
HOSP_006,NE,PainRelief,2,93,351,3
HOSP_006,NE,PainRelief,3,262,123,14
HOSP_006,NE,PainRelief,4,209,309,21
HOSP_006,NE,PainRelief,5,417,375,2
HOSP_006,NE,PainRelief,6,157,237,2
HOSP_006,NE,PainRelief,7,364,155,21
HOSP_006,NE,PainRelief,8,238,212,10
HOSP_006,NE,PainRelief,9,371,155,2
HOSP_006,NE,PainRelief,10,183,378,14
HOSP_006,NE,PainRelief,11,313,56,21
HOSP_006,NE,PainRelief,12,470,209,7
HOSP_006,NE,Antiviral,1,442,203,10
HOSP_006,NE,Antiviral,2,434,362,14
HOSP_006,NE,Antiviral,3,270,354,7
HOSP_006,NE,Antiviral,4,183,210,3
HOSP_006,NE,Antiviral,5,313,338,2
HOSP_006,NE,Antiviral,6,218,77,3
HOSP_006,NE,Antiviral,7,339,247,3
HOSP_006,NE,Antiviral,8,251,54,3
HOSP_006,NE,Antiviral,9,185,174,21
HOSP_006,NE,Antiviral,10,334,343,10
HOSP_006,NE,Antiviral,11,206,69,3
HOSP_006,NE,Antiviral,12,271,263,14
HOSP_006,NE,PPE_Mask,1,293,217,3
HOSP_006,NE,PPE_Mask,2,318,115,2
HOSP_006,NE,PPE_Mask,3,244,276,21
HOSP_006,NE,PPE_Mask,4,154,138,7
HOSP_006,NE,PPE_Mask,5,278,317,3
HOSP_006,NE,PPE_Mask,6,340,346,10
HOSP_006,NE,PPE_Mask,7,184,287,3
HOSP_006,NE,PPE_Mask,8,374,317,3
HOSP_006,NE,PPE_Mask,9,290,89,21
HOSP_006,NE,PPE_Mask,10,241,57,14
HOSP_006,NE,PPE_Mask,11,401,295,7
HOSP_006,NE,PPE_Mask,12,130,351,2
HOSP_007,NW,FluVax,1,184,151,3
HOSP_007,NW,FluVax,2,352,332,14
HOSP_007,NW,FluVax,3,213,276,14
HOSP_007,NW,FluVax,4,75,183,7
HOSP_007,NW,FluVax,5,303,262,3
HOSP_007,NW,FluVax,6,218,335,3
HOSP_007,NW,FluVax,7,243,90,7
HOSP_007,NW,FluVax,8,156,124,2
HOSP_007,NW,FluVax,9,267,188,21
HOSP_007,NW,FluVax,10,480,338,10
HOSP_007,NW,FluVax,11,465,205,21
HOSP_007,NW,FluVax,12,368,50,7
HOSP_007,NW,Insulin,1,353,70,7
HOSP_007,NW,Insulin,2,397,351,10
HOSP_007,NW,Insulin,3,506,301,14
HOSP_007,NW,Insulin,4,320,274,21
HOSP_007,NW,Insulin,5,350,95,21
HOSP_007,NW,Insulin,6,166,239,7
HOSP_007,NW,Insulin,7,209,393,21
HOSP_007,NW,Insulin,8,507,199,2
HOSP_007,NW,Insulin,9,345,333,10
HOSP_007,NW,Insulin,10,522,112,2
HOSP_007,NW,Insulin,11,302,169,21
HOSP_007,NW,Insulin,12,297,335,2
HOSP_007,NW,Antibiotic,1,252,358,7
HOSP_007,NW,Antibiotic,2,199,271,2
HOSP_007,NW,Antibiotic,3,154,169,14
HOSP_007,NW,Antibiotic,4,370,207,10
HOSP_007,NW,Antibiotic,5,205,198,14
HOSP_007,NW,Antibiotic,6,240,221,2
HOSP_007,NW,Antibiotic,7,422,265,2
HOSP_007,NW,Antibiotic,8,184,381,21
HOSP_007,NW,Antibiotic,9,155,357,14
HOSP_007,NW,Antibiotic,10,95,356,21
HOSP_007,NW,Antibiotic,11,357,397,10
HOSP_007,NW,Antibiotic,12,231,116,21
HOSP_007,NW,PainRelief,1,379,306,21
HOSP_007,NW,PainRelief,2,259,259,2
HOSP_007,NW,PainRelief,3,84,191,7
HOSP_007,NW,PainRelief,4,171,361,2
HOSP_007,NW,PainRelief,5,194,241,21
HOSP_007,NW,PainRelief,6,157,282,2
HOSP_007,NW,PainRelief,7,179,356,7
HOSP_007,NW,PainRelief,8,166,88,14
HOSP_007,NW,PainRelief,9,342,94,2
HOSP_007,NW,PainRelief,10,122,381,14
HOSP_007,NW,PainRelief,11,110,139,10
HOSP_007,NW,PainRelief,12,154,202,7
HOSP_007,NW,Antiviral,1,311,373,21
HOSP_007,NW,Antiviral,2,446,131,14
HOSP_007,NW,Antiviral,3,256,381,3
HOSP_007,NW,Antiviral,4,137,307,14
HOSP_007,NW,Antiviral,5,370,259,7
HOSP_007,NW,Antiviral,6,313,88,10
HOSP_007,NW,Antiviral,7,289,345,3
HOSP_007,NW,Antiviral,8,71,284,2
HOSP_007,NW,Antiviral,9,244,328,2
HOSP_007,NW,Antiviral,10,112,156,3
HOSP_007,NW,Antiviral,11,278,171,21
HOSP_007,NW,Antiviral,12,244,337,7
HOSP_007,NW,PPE_Mask,1,325,124,3
HOSP_007,NW,PPE_Mask,2,263,149,10
HOSP_007,NW,PPE_Mask,3,333,56,10
HOSP_007,NW,PPE_Mask,4,151,242,10
HOSP_007,NW,PPE_Mask,5,373,175,7
HOSP_007,NW,PPE_Mask,6,170,113,14
HOSP_007,NW,PPE_Mask,7,383,374,21
HOSP_007,NW,PPE_Mask,8,266,116,7
HOSP_007,NW,PPE_Mask,9,235,355,21
HOSP_007,NW,PPE_Mask,10,325,294,21
HOSP_007,NW,PPE_Mask,11,235,245,3
HOSP_007,NW,PPE_Mask,12,290,334,14
